ID	M7020000370735	M7020000396310	M7020000398638	M7020000402033	M7020000424934	M7020000427533	M7020000429832	M7020000469121	M7020000483425	M7020000504220	M7020000511010	M7020000532520	M7020000552326	M7020000554920	M7020000560613	M7020000565324	M7020000569619	M7020000576014	M7020000582521	M7020000593113	M7020000594021	M7020000597533	M7020000602230	M7020000609410	M7020000609939	M7020000615112	M7020000618230	M7020000618722	M7020000624229	M7020000627525	M7020000631027	M7020000634619	M7020000635115	M7020000636613	M7020000637639	M7020000637719	M7020000650318	M7020000650425	M7020000655314	M7020000658826	M7020000660010	M7020000688816	M7020000689715	M7020000692612	M7020000701829	M7020000702011	M7020000702414	M7020000707724	M7020000717918	M7020000719019	M7020000720332	M7020000721213	M7020000724028	M7020000742714	M7020000751437	M7020000765316	M7020000765530	M7020000767731	M7020000774217	M7020000777139	M7020000777317	M7020000790239	M7020000791817	M7020000807720	M7020000811123	M7020000811339	M7020000811535	M7020000811910	M7020000813727	M7020000815131	M7020000815211	M7020000815820	M7020000817922	M7020000819927	M7020000827830	M7020000828917	M7020000833434	M7020000842120	M7020000842139	M7020000846432	M7020000854013	M7020000859717	M7020000861420	M7020000861724	M7020000862534	M7020000862632	M7020000863738	M7020000866417	M7020000866927	M7020000868930	M7020000871032	M7020000874731	M7020000876431	M7020000878623	M7020000882420	M7020000886910	M7020000900134	M7020001028515	M7020001030139	M7020001030317	M7020001031118	M7020001031136	M7020001036428	M7020001048830	M7020001056538	M7020001059923	M7020001062419	M7020001069527	M7020001077233	M7020001087623	M7020001088611	M7020001090736	M7020001093925	M7020001095920	M7020001095939	M7020001098322	M7020001099230	M7020001103128	M7020001103530	M7020001105937	M7020001106120	M7020001106139	M7020001106433	M7020001111925	M7020001112717	M7020001112931	M7020001113026	M7020001114014	M7020001114829	M7020001115030	M7020001115334	M7020001116529	M7020001116814	M7020001116930	M7020001117811	M7020001118917	M7020001120129	M7020001121135	M7020001121313	M7020001121627	M7020001122910	M7020001123022	M7020001123739	M7020001124530	M7020001125410	M7020001126820	M7020001128136	M7020001129821	M7020001130027	M7020001132415	M7020001132424	M7020001132738	M7020001133717	M7020001133726	M7020001133931	M7020001135720	M7020001136530	M7020001137510	M7020001137618	M7020001141316	M7020001144238	M7020001146027	M7020001146036	M7020001146439	M7020001147131	M7020001148710	M7020001149520	M7020001154118	M7020001154922	M7020001155124	M7020001161613	M7020001161720	M7020001161936	M7020001163215	M7020001166914	M7020001167519	M7020001167626	M7020001168810	M7020001171816	M7020001175539	M7020001176017	M7020001181438	M7020001181732	M7020001183826	M7020001184233	M7020001187413	M7020001187638	M7020001188911	M7020001190132	M7020001190722	M7020001192226	M7020001192511	M7020001280338	M7020001285924	M7020001287633	M7020001292428	M7020001328431	M7020001338017	M7020001344210
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis	0.64498	1.79986	0.79657	0.89709	1.12642	5.81569	0.0	1.42855	6.84889	2.2893	0.0	2.47498	0.83003	0.0	2.06026	1.94425	0.50545	0.08934	4.84395	0.47865	2.96177	2.03578	0.8885	0.45286	3.17583	0.82603	0.0	1.80027	3.59301	2.60063	1.98918	0.0	0.60344	0.63897	3.26436	0.93606	3.1016	0.58556	0.0	1.31508	0.0	2.36303	1.04852	1.46513	0.01564	0.97947	3.0871	0.09136	0.0	1.64414	0.30275	1.06208	3.56181	1.45469	5.24138	0.74146	1.35025	1.68908	1.60658	0.83402	3.07364	1.2388	0.2596	3.64465	13.20335	0.37943	0.0346	0.0	0.61994	0.0	0.60095	2.40687	0.76416	4.47862	1.27989	0.03585	2.2177	0.39324	0.60644	0.30915	0.58326	0.12546	4.94708	2.45991	0.33923	0.5069	0.63863	0.27963	0.0	1.23704	0.7675	0.10802	0.01073	0.0	0.37498	1.66166	5.61444	6.35436	0.99221	4.43652	2.16455	0.0	0.38299	0.14416	0.72185	2.04309	1.40583	0.7798	1.43617	0.0	3.03653	0.0	1.31485	1.56833	0.0	0.89507	0.39842	1.18689	2.21655	0.58481	0.40784	1.73596	2.12627	0.56887	6.59519	0.54475	0.0	3.64097	0.0	1.77477	0.0	1.03204	0.0	1.473	0.70454	1.28477	0.11512	0.98419	4.80072	3.36553	0.2046	0.39701	1.4801	0.79719	1.14163	6.88455	1.04727	0.04348	0.0	0.211	3.38115	0.31944	0.72296	0.1605	1.96936	1.14064	0.79028	1.65131	1.72324	0.21561	0.05614	1.83734	0.31232	0.41582	0.79951	0.66631	3.70824	7.36543	0.90591	0.96385	0.0	0.0	1.56836	0.27882	0.24147	0.0	1.49654	2.1825	1.27206	0.34439	1.00713	0.14459	0.10657	0.02508	1.69446	1.94206	0.87579	2.77304	0.0	1.59056	2.43078	0.5865	0.0	1.11155	0.49466	2.88231	0.0	6.30486	1.07431
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis|t__GCF_000296465	0.64498	1.79986	0.79657	0.89709	1.12642	5.81569	0.0	1.42855	6.84889	2.2893	0.0	2.47498	0.83003	0.0	2.06026	1.94425	0.50545	0.08934	4.84395	0.47865	2.96177	2.03578	0.8885	0.45286	3.17583	0.82603	0.0	1.80027	3.59301	2.60063	1.98918	0.0	0.60344	0.63897	3.26436	0.93606	3.1016	0.58556	0.0	1.31508	0.0	2.36303	1.04852	1.46513	0.01564	0.97947	3.0871	0.09136	0.0	1.64414	0.30275	1.06208	3.56181	1.45469	5.24138	0.74146	1.35025	1.68908	1.60658	0.83402	3.07364	1.2388	0.2596	3.64465	13.20335	0.37943	0.0346	0.0	0.61994	0.0	0.60095	2.40687	0.76416	4.47862	1.27989	0.03585	2.2177	0.39324	0.60644	0.30915	0.58326	0.12546	4.94708	2.45991	0.33923	0.5069	0.63863	0.27963	0.0	1.23704	0.7675	0.10802	0.01073	0.0	0.37498	1.66166	5.61444	6.35436	0.99221	4.43652	2.16455	0.0	0.38299	0.14416	0.72185	2.04309	1.40583	0.7798	1.43617	0.0	3.03653	0.0	1.31485	1.56833	0.0	0.89507	0.39842	1.18689	2.21655	0.58481	0.40784	1.73596	2.12627	0.56887	6.59519	0.54475	0.0	3.64097	0.0	1.77477	0.0	1.03204	0.0	1.473	0.70454	1.28477	0.11512	0.98419	4.80072	3.36553	0.2046	0.39701	1.4801	0.79719	1.14163	6.88455	1.04727	0.04348	0.0	0.211	3.38115	0.31944	0.72296	0.1605	1.96936	1.14064	0.79028	1.65131	1.72324	0.21561	0.05614	1.83734	0.31232	0.41582	0.79951	0.66631	3.70824	7.36543	0.90591	0.96385	0.0	0.0	1.56836	0.27882	0.24147	0.0	1.49654	2.1825	1.27206	0.34439	1.00713	0.14459	0.10657	0.02508	1.69446	1.94206	0.87579	2.77304	0.0	1.59056	2.43078	0.5865	0.0	1.11155	0.49466	2.88231	0.0	6.30486	1.07431
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Butyricimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00948	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Butyricimonas|s__Butyricimonas_synergistica	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00948	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Butyricimonas|s__Butyricimonas_synergistica|t__GCF_000379665	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00948	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Coprobacter	0.26109	0.02333	0.07138	0.0	0.09351	0.09635	0.0	0.00291	0.0	0.0	0.03762	0.09195	0.00398	0.0	0.07277	0.01089	0.0	0.3596	0.0	0.04141	0.02256	0.02191	0.03489	0.0	0.12373	0.05026	0.0	0.0	0.0	0.00677	0.0	0.0	0.0	0.10037	0.0	0.00686	0.0	0.02869	0.0	0.0649	0.16787	0.01735	0.00159	0.00457	0.0	0.0	0.0276	0.0	0.0435	0.0	0.0	0.01134	0.02569	0.0032	0.0	0.01568	0.02151	0.1672	0.00824	0.0	0.0	0.06747	0.0	0.0	0.0	0.0	0.03203	0.0	0.0	0.0	0.03761	0.16901	0.10441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00705	0.0	0.06372	0.00131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17488	0.01464	0.01823	0.0	0.00985	0.0	0.0	0.0	0.41752	0.0	0.01225	0.05391	0.0	0.0	0.01109	0.0	0.02654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02481	0.02386	0.0	0.03974	0.0	0.0	0.0	0.07068	0.17139	0.08926	0.0	0.02999	0.0	0.0	0.01276	0.1111	0.0	0.0	0.0	0.01045	0.03372	0.00963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01781	0.02016	0.01386	0.0	0.00059	0.0	0.04449	0.08113	0.02098	0.06156	0.0	0.0	0.0	0.06069	0.01305	0.0	0.03369	0.0	0.00805	0.0	0.39831	0.00669	0.0	0.00682	0.0	0.0	0.02653	0.0	0.01172	0.0	0.01295	0.03439	0.0	0.00121	0.0	0.0	0.13147	0.0	0.0	0.06444	0.09922	0.00437	0.01938	0.00157	0.14249	0.05956	0.0	0.00617
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Coprobacter|s__Coprobacter_fastidiosus	0.26109	0.02333	0.07138	0.0	0.09351	0.09635	0.0	0.00291	0.0	0.0	0.03762	0.09195	0.00398	0.0	0.07277	0.01089	0.0	0.3596	0.0	0.04141	0.02256	0.02191	0.03489	0.0	0.12373	0.05026	0.0	0.0	0.0	0.00677	0.0	0.0	0.0	0.10037	0.0	0.00686	0.0	0.02869	0.0	0.0649	0.16787	0.01735	0.00159	0.00457	0.0	0.0	0.0276	0.0	0.0435	0.0	0.0	0.01134	0.02569	0.0032	0.0	0.01568	0.02151	0.1672	0.00824	0.0	0.0	0.06747	0.0	0.0	0.0	0.0	0.03203	0.0	0.0	0.0	0.03761	0.16901	0.10441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00705	0.0	0.06372	0.00131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17488	0.01464	0.01823	0.0	0.00985	0.0	0.0	0.0	0.41752	0.0	0.01225	0.05391	0.0	0.0	0.01109	0.0	0.02654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02481	0.02386	0.0	0.03974	0.0	0.0	0.0	0.07068	0.17139	0.08926	0.0	0.02999	0.0	0.0	0.01276	0.1111	0.0	0.0	0.0	0.01045	0.03372	0.00963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01781	0.02016	0.01386	0.0	0.00059	0.0	0.04449	0.08113	0.02098	0.06156	0.0	0.0	0.0	0.06069	0.01305	0.0	0.03369	0.0	0.00805	0.0	0.39831	0.00669	0.0	0.00682	0.0	0.0	0.02653	0.0	0.01172	0.0	0.01295	0.03439	0.0	0.00121	0.0	0.0	0.13147	0.0	0.0	0.06444	0.09922	0.00437	0.01938	0.00157	0.14249	0.05956	0.0	0.00617
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Coprobacter|s__Coprobacter_fastidiosus|t__GCF_000473955	0.26109	0.02333	0.07138	0.0	0.09351	0.09635	0.0	0.00291	0.0	0.0	0.03762	0.09195	0.00398	0.0	0.07277	0.01089	0.0	0.3596	0.0	0.04141	0.02256	0.02191	0.03489	0.0	0.12373	0.05026	0.0	0.0	0.0	0.00677	0.0	0.0	0.0	0.10037	0.0	0.00686	0.0	0.02869	0.0	0.0649	0.16787	0.01735	0.00159	0.00457	0.0	0.0	0.0276	0.0	0.0435	0.0	0.0	0.01134	0.02569	0.0032	0.0	0.01568	0.02151	0.1672	0.00824	0.0	0.0	0.06747	0.0	0.0	0.0	0.0	0.03203	0.0	0.0	0.0	0.03761	0.16901	0.10441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00705	0.0	0.06372	0.00131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17488	0.01464	0.01823	0.0	0.00985	0.0	0.0	0.0	0.41752	0.0	0.01225	0.05391	0.0	0.0	0.01109	0.0	0.02654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02481	0.02386	0.0	0.03974	0.0	0.0	0.0	0.07068	0.17139	0.08926	0.0	0.02999	0.0	0.0	0.01276	0.1111	0.0	0.0	0.0	0.01045	0.03372	0.00963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01781	0.02016	0.01386	0.0	0.00059	0.0	0.04449	0.08113	0.02098	0.06156	0.0	0.0	0.0	0.06069	0.01305	0.0	0.03369	0.0	0.00805	0.0	0.39831	0.00669	0.0	0.00682	0.0	0.0	0.02653	0.0	0.01172	0.0	0.01295	0.03439	0.0	0.00121	0.0	0.0	0.13147	0.0	0.0	0.06444	0.09922	0.00437	0.01938	0.00157	0.14249	0.05956	0.0	0.00617
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	1.73624	0.49217	1.0057	1.55279	0.83219	0.94169	2.18012	1.07643	1.03935	0.28506	0.56927	0.32527	0.81509	1.54057	0.3961	0.0	0.05173	0.38885	0.76508	0.4172	1.38472	2.02231	0.5488	0.01178	1.11134	0.62206	0.31938	0.56376	1.62447	1.63543	0.48142	0.0	0.30655	0.36061	0.80175	2.20547	0.8397	0.06501	0.0	0.55438	2.47948	0.0705	1.5983	0.267	0.01397	0.33708	0.28615	0.30757	0.50026	0.90415	0.0	1.01484	1.70631	0.90102	1.3184	1.05964	0.0	1.77332	0.0	0.45148	1.06014	0.02142	1.13369	0.4106	0.5538	0.33313	0.58574	0.0	0.04068	0.60843	0.52282	0.36829	0.05483	0.65017	0.89969	0.09056	0.05917	0.92606	0.62037	0.3355	0.44468	0.5271	0.43561	0.60296	0.63129	0.804	0.81057	0.03367	1.5966	0.67603	0.78173	0.06315	1.07509	0.0	2.21092	0.37864	1.89243	1.21421	1.98386	0.88351	0.87664	0.0	0.65889	0.03606	0.64422	1.32216	0.03191	1.10222	1.26362	1.07661	0.31295	0.05214	0.0	0.60661	0.58387	0.90192	0.68009	0.0	0.03247	0.0	0.35286	0.08187	0.50588	1.22557	0.56447	0.74913	0.83519	0.06468	0.81542	1.25023	0.0	1.0006	0.0	0.71304	0.66222	0.94027	0.15769	0.25281	0.51876	0.081	0.97505	0.77773	1.92712	0.32188	1.43287	2.8158	0.0	0.06036	0.0	0.03515	0.67349	0.0	0.91188	0.0	0.54545	0.0292	0.31642	0.28483	0.73524	0.01296	0.18594	0.0	0.0	0.61756	0.0766	0.03324	0.7165	0.0	0.64114	0.26732	1.51354	0.84116	0.40819	0.02863	0.81008	0.91131	0.58173	7.05063	0.3101	0.35305	0.4674	0.04152	0.97226	1.94462	0.38722	0.811	0.65125	0.65664	0.03688	0.06631	0.6024	0.0272	0.62029	0.03266	0.26107	0.78646	0.0	2.08403	1.308
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_laneus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.41989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_laneus|t__GCF_000243215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.41989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_splanchnicus	1.73624	0.49217	1.0057	1.55279	0.83219	0.94169	2.18012	1.07643	1.03935	0.28506	0.56927	0.32527	0.81509	1.54057	0.3961	0.0	0.0	0.38885	0.76508	0.4172	1.38472	2.02231	0.5488	0.0	1.11134	0.62206	0.31938	0.56376	1.62447	1.63543	0.48142	0.0	0.30655	0.36061	0.80175	2.20547	0.8397	0.0	0.0	0.55438	2.47948	0.0	1.5983	0.267	0.0	0.33708	0.28615	0.30757	0.50026	0.90415	0.0	1.01484	1.70631	0.90102	1.3184	1.05964	0.0	1.77332	0.0	0.45148	1.06014	0.0	1.13369	0.4106	0.5538	0.33313	0.58574	0.0	0.0	0.60843	0.52282	0.36829	0.0	0.65017	0.89969	0.0	0.0	0.92606	0.62037	0.3355	0.44468	0.5271	0.43561	0.60296	0.63129	0.804	0.81057	0.0	1.5966	0.67603	0.78173	0.0	1.07509	0.0	2.21092	0.37864	1.89243	1.21421	1.98386	0.88351	0.87664	0.0	0.65889	0.0	0.64422	1.32216	0.0	1.10222	1.26362	1.07661	0.31295	0.0	0.0	0.60661	0.58387	0.90192	0.68009	0.0	0.0	0.0	0.35286	0.0	0.50588	1.22557	0.56447	0.74913	0.83519	0.0	0.81542	1.25023	0.0	1.0006	0.0	0.71304	0.66222	0.94027	0.0	0.25281	0.51876	0.0	0.97505	0.77773	1.92712	0.32188	1.43287	2.8158	0.0	0.0	0.0	0.0	0.67349	0.0	0.91188	0.0	0.54545	0.0	0.31642	0.28483	0.73524	0.0	0.18594	0.0	0.0	0.61756	0.0	0.0	0.7165	0.0	0.64114	0.26732	1.51354	0.84116	0.40819	0.0	0.81008	0.91131	0.58173	0.63074	0.3101	0.35305	0.4674	0.0	0.97226	1.94462	0.38722	0.811	0.65125	0.65664	0.0	0.0	0.6024	0.0	0.62029	0.0	0.26107	0.78646	0.0	2.08403	1.308
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_splanchnicus|t__GCF_000190535	1.73624	0.49217	1.0057	1.55279	0.83219	0.94169	2.18012	1.07643	1.03935	0.28506	0.56927	0.32527	0.81509	1.54057	0.3961	0.0	0.0	0.38885	0.76508	0.4172	1.38472	2.02231	0.5488	0.0	1.11134	0.62206	0.31938	0.56376	1.62447	1.63543	0.48142	0.0	0.30655	0.36061	0.80175	2.20547	0.8397	0.0	0.0	0.55438	2.47948	0.0	1.5983	0.267	0.0	0.33708	0.28615	0.30757	0.50026	0.90415	0.0	1.01484	1.70631	0.90102	1.3184	1.05964	0.0	1.77332	0.0	0.45148	1.06014	0.0	1.13369	0.4106	0.5538	0.33313	0.58574	0.0	0.0	0.60843	0.52282	0.36829	0.0	0.65017	0.89969	0.0	0.0	0.92606	0.62037	0.3355	0.44468	0.5271	0.43561	0.60296	0.63129	0.804	0.81057	0.0	1.5966	0.67603	0.78173	0.0	1.07509	0.0	2.21092	0.37864	1.89243	1.21421	1.98386	0.88351	0.87664	0.0	0.65889	0.0	0.64422	1.32216	0.0	1.10222	1.26362	1.07661	0.31295	0.0	0.0	0.60661	0.58387	0.90192	0.68009	0.0	0.0	0.0	0.35286	0.0	0.50588	1.22557	0.56447	0.74913	0.83519	0.0	0.81542	1.25023	0.0	1.0006	0.0	0.71304	0.66222	0.94027	0.0	0.25281	0.51876	0.0	0.97505	0.77773	1.92712	0.32188	1.43287	2.8158	0.0	0.0	0.0	0.0	0.67349	0.0	0.91188	0.0	0.54545	0.0	0.31642	0.28483	0.73524	0.0	0.18594	0.0	0.0	0.61756	0.0	0.0	0.7165	0.0	0.64114	0.26732	1.51354	0.84116	0.40819	0.0	0.81008	0.91131	0.58173	0.63074	0.3101	0.35305	0.4674	0.0	0.97226	1.94462	0.38722	0.811	0.65125	0.65664	0.0	0.0	0.6024	0.0	0.62029	0.0	0.26107	0.78646	0.0	2.08403	1.308
